RECITATION324_001:女の子がキッキッ嬉しそう。,オンナノコガキッキッウレシソー。
RECITATION324_002:ツァツォに旅行した。,ツァツォニリョコーシタ。
RECITATION324_003:民衆がテュルリー宮殿に侵入した。,ミンシュウガテュルリーキュウデンニシンニュウシタ。
RECITATION324_004:ハイチ共和国でトゥーサンルーヴェルテュールが勝利を収められたのは、実際黄熱病のおかげだった。,ハイチキョーワコクデトゥーサンルーヴェルテュールガショーリヲオサメラレタノワ、ジッサイオーネツビョーノオカゲダッタ。
RECITATION324_005:レジャンドルは民衆をテュルリー宮殿に招いた。,レジャンドルワミンシュウヲテュルリーキュウデンニマネータ。
RECITATION324_006:助言はできないとデュパンは言った。,ジョゲンワデキナイトデュパンワイッタ。
RECITATION324_007:フランス人シェフと日本人シェフは全然違う。,フランスジンシェフトニホンジンシェフワゼンゼンチガウ。
RECITATION324_008:中国の外交団にアタッシェとして派遣された。,チュウゴクノガイコーダンニアタッシェトシテハケンサレタ。
RECITATION324_009:ファシズム勢力との総力戦に臨む。,ファシズムセーリョクトノソーリョクセンニノゾム。
RECITATION324_010:家具商人のフィシェルは、荷車と仔馬を貸してくれた。,カグショーニンノフィシェルワ、ニグルマトコウマヲカシテクレタ。
RECITATION324_011:ローカル路線にはファンも多い。,ローカルロセンニワファンモオオイ。
RECITATION324_012:フェイントで相手をかわしてからシュートでフィニッシュした。,フェイントデアイテヲカワシテカラシュートデフィニッシュシタ。
RECITATION324_013:1877、プフェファーにより浸透現象が発見された。,センハッピャクナナジュウナナ、プフェファーニヨリシントーゲンショーガハッケンサレタ。
RECITATION324_014:揺れるフェリーに乗るのは私にとって苦行です。,ユレルフェリーニノルノワワタシニトッテクギョーデス。
RECITATION324_015:ホルロ・アラ・ティタルッフォという特別なお料理も出ました。,ホルロアラティタルッフォトユウトクベツナオリョーリモデマシタ。
RECITATION324_016:笛の音がなるとウサギのキッドが早速ぴょんと跳ねた。,フエノオトガナルトウサギノキッドガサッソクピョントハネタ。
RECITATION324_017:あの旅客は噂のキャフェに行くようです。,アノリョキャクワウワサノキャフェニイクヨーデス。
RECITATION324_018:目標は一等賞です。,モクヒョーワイットーショーデス。
RECITATION324_019:ウサギのキッドは気分よくピョン、またピョンと飛び続けた。,ウサギノキッドワキブンヨクピョン、マタピョントトビツヅケタ。
RECITATION324_020:アフタヌーンティーを楽しみましょう。,アフタヌーンティーヲタノシミマショー。
RECITATION324_021:彼女はティピカルなフェミニストです。,カノジョワティピカルナフェミニストデス。
RECITATION324_022:助手たちとミッツィは探している書類を見つけられなかった。,ジョシュタチトミッツィワサガシテイルショルイヲミツケラレナカッタ。
RECITATION324_023:フィレンツェ、パドヴァ、ヴェネツィアはどれもイタリアの都市です。,フィレンツェ、パドヴァ、ヴェネツィアワドレモイタリアノトシデス。
RECITATION324_024:楽譜に次のように書いてあるのが、エーフェリチェです。,ガクフニツギノヨーニカイテアルノガ、エーフェリチェデス。
RECITATION324_025:ショペンハウエルとニーチェの哲学書を本棚から取り出した。,ショペンハウエルトニーチェノテツガクショヲホンダナカラトリダシタ。
RECITATION324_026:早速召使い全員に知らせましょう。,サッソクメシツカイゼンインニシラセマショー。
RECITATION324_027:重い綿入を脱いで、あわせに着替える。,オモイワタイレヲヌイデ、アワセニキガエル。
RECITATION324_028:ボストンで、とあるチョプスイ屋へ入って夕飯を食った。,ボストンデ、トアルチョプスイヤエハイッテユウハンヲクッタ。
RECITATION324_029:ろくすっぽ休憩をとらず働いた。,ロクスッポキュウケーヲトラズハタライタ。
RECITATION324_030:かつて一人で国府に侵入した。,カツテヒトリデコクフニシンニュウシタ。
RECITATION324_031:だが、今日お前がここへ御入来になったのは、どんなご用なのかな？,ダガ、キョーオマエガココエゴジュライニナッタノワ、ドンナゴヨーナノカナ？
RECITATION324_032:サブフランチャイザーを増やして目指せ百店舗。,サブフランチャイザーヲフヤシテメザセヒャクテンポ。
RECITATION324_033:四国でお遍路を行脚しよう。,シコクデオヘンロヲアンギャシヨー。
RECITATION324_034:いつもの通りギャンギャン泣き出しました。,イツモノトオリギャンギャンナキダシマシタ。
RECITATION324_035:先生は、立ったままニュースを見ていました。,センセーワ、タッタママニュースヲミテイマシタ。
RECITATION324_036:私はギョッと目を見開いた。,ワタシワギョットメヲミヒライタ。
RECITATION324_037:友達へニューイヤーカードを送ろう。,トモダチエニューイヤーカードヲオクロー。
RECITATION324_038:家政婦は休みにおしゃれなアウターウェアに身を包み一人で屋台を楽しみました。,カセーフワヤスミニオシャレナアウターウェアニミヲツツミヒトリデヤタイヲタノシミマシタ。
RECITATION324_039:ウォッカのお供には塩漬けのきゅうりがあいます。,ウォッカノオトモニワシオヅケノキュウリガアイマス。
RECITATION324_040:山の向こうのミュンヒェンの人たちが攻撃をしかけた。,ヤマノムコーノミュンヒェンノヒトタチガコーゲキヲシカケタ。
RECITATION324_041:ボスニア国境からの攻撃により、十一月にヴァリェヴォが占領された。,ボスニアコッキョーカラノコーゲキニヨリ、ジュウイチガツニヴァリェヴォガセンリョーサレタ。
RECITATION324_042:シルヴィウスはデュボアと呼ばれていたフランスのユグノーの家に生まれた。,シルヴィウスワデュボアトヨバレテイタフランスノユグノーノイエニウマレタ。
RECITATION324_043:そのほかに私に出来ることはなかったのです、百合枝は涙声になった。,ソノホカニワタシニデキルコトワナカッタノデス、ユリエワナミダゴエニナッタ。
RECITATION324_044:ガル博士百体近く。,ガルハカセヒャクタイチカク。
RECITATION324_045:日本政府からの百兆円を超える予算要求。,ニホンセーフカラノヒャクチョーエンヲコエルヨサンヨーキュウ。
RECITATION324_046:写経の美しさに私は仰天してしまった。,シャキョーノウツクシサニワタシワギョーテンシテシマッタ。
