EMOTION100_001:えっ嘘(うそ)でしょ。,エッウソデショ。
EMOTION100_002:シュヴァイツァーは見習(みなら)うべき人間(にんげん)です。,シュヴァイツァーワミナラウベキニンゲンデス。
EMOTION100_003:デーヴィスさんはとても疲(つか)れているように見(み)える。,デーヴィスサンワトテモツカレテイルヨーニミエル。
EMOTION100_004:スティーヴはジェーンから手紙(てがみ)をもらった。,スティーヴワジェーンカラテガミヲモラッタ。
EMOTION100_005:彼女(かのじょ)はモーツァルトやベートーヴェンといった、古典派(こてんは)の作曲家(さっきょくか)が好(す)きだ。,カノジョワモーツァルトヤベートーヴェントイッタ、コテンハノサッキョクカガスキダ。
EMOTION100_006:ストラットフォード・オン・エイヴォンは、シェイクスピアの生(う)まれたところですが、毎年(まいとし)多(おお)くの観光客(かんこうきゃく)が訪(おとず)れます。,ストラットフォードオンエイヴォンワ、シェイクスピアノウマレタトコロデスガ、マイトシオオクノカンコーキャクガオトズレマス。
EMOTION100_007:彼(かれ)はピューマを慣(な)らすのに、大(おお)いに骨(ほね)を折(お)った。,カレワピューマヲナラスノニ、オオイニホネヲオッタ。
EMOTION100_008:彼(かれ)が解雇(かいこ)されるとは妙(みょう)な話(はなし)だ。,カレガカイコサレルトワミョーナハナシダ。
EMOTION100_009:クリスはヴァンパイア・ナイトを倒(たお)した。,クリスワヴァンパイアナイトヲタオシタ。
EMOTION100_010:彼(かれ)のあだ名(な)は言(い)い得(え)て妙(みょう)だよね。,カレノアダナワイイエテミョーダヨネ。
EMOTION100_011:イタリア旅行(りょこう)で彼(かれ)は、いくつか景勝(けいしょう)の地(ち)として有名(ゆうめい)な都市(とし)、例(たと)えば、ナポリやフィレンツェを訪(おとず)れた。,イタリアリョコーデカレワ、イクツカケーショーノチトシテユウメーナトシ、タトエバ、ナポリヤフィレンツェヲオトズレタ。
EMOTION100_012:ゼロという概念(がいねん)は、ヒンドゥー文化(ぶんか)に由来(ゆらい)している。,ゼロトユウガイネンワ、ヒンドゥーブンカニユライシテイル。
EMOTION100_013:そのいたずら娘(むすめ)は何食(なにく)わぬ顔(かお)をした。,ソノイタズラムスメワナニクワヌカオヲシタ。
EMOTION100_014:スミスさん、ピエール・デュボワをご紹介(しょうかい)しますわ。私(わたし)の親友(しんゆう)なの。,スミスサン、ピエールデュボワヲゴショーカイシマスワ。ワタシノシンユウナノ。
EMOTION100_015:どーすんの、このお店(みせ)。完(かん)ッ全(ぜん)に閑古鳥(かんこどり)が鳴(な)いちゃってるじゃない。,ドースンノ、コノオミセ。カンッゼンニカンコドリガナイチャッテルジャナイ。
EMOTION100_016:頂上(ちょうじょう)に着(つ)くと皆(みんな)でヤッホーと叫(さけ)んだ。,チョージョーニツクトミンナデヤッホートサケンダ。
EMOTION100_017:あっベルが鳴(な)ってる。,アッベルガナッテル。
EMOTION100_018:彼女(かのじょ)は彼(かれ)にぴょこんとおじぎをした。,カノジョワカレニピョコントオジギヲシタ。
EMOTION100_019:男子(だんし)生徒(せいと)のめいめいが、帽子(ぼうし)に学校(がっこう)のバッジをつけています。,ダンシセートノメーメーガ、ボーシニガッコーノバッジヲツケテイマス。
EMOTION100_020:ヒューズが飛(と)んだ。,ヒューズガトンダ。
EMOTION100_021:私(わたし)はポピュラー音楽(おんがく)を聞(き)きたい。,ワタシワポピュラーオンガクヲキキタイ。
EMOTION100_022:猫(ねこ)はにゃーにゃーと鳴(な)く。,ネコワニャーニャートナク。
EMOTION100_023:私(わたし)の一番(いちばん)上(うえ)の兄(あに)が父(ちち)の名代(みょうだい)としてその会合(かいごう)に出席(しゅっせき)した。,ワタシノイチバンウエノアニガチチノミョーダイトシテソノカイゴーニシュッセキシタ。
EMOTION100_024:彼(かれ)は首相(しゅしょう)にインタビューした。,カレワシュショーニインタビューシタ。
EMOTION100_025:その会社(かいしゃ)の急速(きゅうそく)な成長(せいちょう)は、その独特(どくとく)な戦略(せんりゃく)によるものだった。,ソノカイシャノキュウソクナセーチョーワ、ソノドクトクナセンリャクニヨルモノダッタ。
EMOTION100_026:私(わたし)はいつもミネラルウォーターを持(も)ち歩(ある)いています。,ワタシワイツモミネラルウォーターヲモチアルイテイマス。
EMOTION100_027:彼女(かのじょ)はハンドバッグを開(あ)けて家(いえ)の鍵(かぎ)を探(さが)してみたが、見(み)つからなかった。,カノジョワハンドバッグヲアケテイエノカギヲサガシテミタガ、ミツカラナカッタ。
EMOTION100_028:彼女(かのじょ)はスタッフをまとめていけると思(おも)いますか？,カノジョワスタッフヲマトメテイケルトオモイマスカ？
EMOTION100_029:牛乳(ぎゅうにゅう)はあなたの体(からだ)に良(よ)いだろう、毎日(まいにち)飲(の)んだほうがいい。,ギュウニュウワアナタノカラダニヨイダロー、マイニチノンダホーガイイ。
EMOTION100_030:あなたは流感(りゅうかん)になりかけているか、もっと重(おも)い病気(びょうき)かもしれません。,アナタワリュウカンニナリカケテイルカ、モットオモイビョーキカモシレマセン。
EMOTION100_031:彼女(かのじょ)はその事件(じけん)を、生(い)き生(い)きとした筆致(ひっち)で描写(びょうしゃ)した。,カノジョワソノジケンヲ、イキイキトシタヒッチデビョーシャシタ。
EMOTION100_032:彼(かれ)は自(みずか)らの生涯(しょうがい)を、インドでの病人(びょうにん)の治療(ちりょう)に捧(ささ)げるつもりだ。,カレワミズカラノショーガイヲ、インドデノビョーニンノチリョーニササゲルツモリダ。
EMOTION100_033:奇妙(きみょう)な男(おとこ)で、彼(かれ)は人(ひと)から話(はな)し掛(か)けられないと口(くち)をきかない。,キミョーナオトコデ、カレワヒトカラハナシカケラレナイトクチヲキカナイ。
EMOTION100_034:我々(われわれ)はその山脈(さんみゃく)で土着(どちゃく)のガイドを雇(やと)った。,ワレワレワソノサンミャクデドチャクノガイドヲヤトッタ。
EMOTION100_035:彼女(かのじょ)は息子(むすこ)に家(いえ)で行儀(ぎょうぎ)よくするように言(い)った。,カノジョワムスコニイエデギョーギヨクスルヨーニイッタ。
EMOTION100_036:彼(かれ)はライフルを拾(ひろ)い上(あ)げ、それで標的(ひょうてき)をねらった。,カレワライフルヲヒロイアゲ、ソレデヒョーテキヲネラッタ。
EMOTION100_037:私(わたし)はこの本(ほん)に八百(はっぴゃく)円(えん)を払(はら)った。,ワタシワコノホンニハッピャクエンヲハラッタ。
EMOTION100_038:気分(きぶん)が悪(わる)くて入院(にゅういん)したが、結果的(けっかてき)にはたいしたことはなかった。,キブンガワルクテニュウインシタガ、ケッカテキニワタイシタコトワナカッタ。
EMOTION100_039:アフィ狙(ねら)いの釣(つ)り記事(きじ)ですね。英語(えいご)関係(かんけい)のコミュのあちこちにマルチポストしています。,アフィネライノツリキジデスネ。エーゴカンケーノコミュノアチコチニマルチポストシテイマス。
EMOTION100_040:トラベラーズチェックを現金(げんきん)に替(か)えてくれるのはこの窓口(まどぐち)ですか？,トラベラーズチェックヲゲンキンニカエテクレルノワコノマドグチデスカ？
EMOTION100_041:本日(ほんじつ)の映画(えいが)は、サウンド・オブ・ミュージックでございます。,ホンジツノエーガワ、サウンドオブミュージックデゴザイマス。
EMOTION100_042:概(がい)してわれわれ日本人(にほんじん)は、外国語(がいこくご)を話(はな)すのに少(すこ)し臆病(おくびょう)すぎる。,ガイシテワレワレニホンジンワ、ガイコクゴヲハナスノニスコシオクビョースギル。
EMOTION100_043:店(みせ)の人(ひと)は私(わたし)のことを知(し)るようになり、私(わたし)はいつも同(おな)じウェイトレスに応対(おうたい)してもらっていた。,ミセノヒトワワタシノコトヲシルヨーニナリ、ワタシワイツモオナジウェイトレスニオータイシテモラッテイタ。
EMOTION100_044:この丘(おか)からは何百万(なんびゃくまん)という星(ほし)が見(み)える。,コノオカカラワナンビャクマントユウホシガミエル。
EMOTION100_045:彼女(かのじょ)は大学(だいがく)に入学(にゅうがく)したら、親(おや)から経済的(けいざいてき)に独立(どくりつ)しようと思(おも)っていた。,カノジョワダイガクニニュウガクシタラ、オヤカラケーザイテキニドクリツシヨートオモッテイタ。
EMOTION100_046:サブマリンのペリスコープが、水中(すいちゅう)からにょっきり突(つ)き出(で)ていた。,サブマリンノペリスコープガ、スイチュウカラニョッキリツキデテイタ。
EMOTION100_047:別(べつ)にブルマに特別(とくべつ)な関心(かんしん)があるわけじゃない。,ベツニブルマニトクベツナカンシンガアルワケジャナイ。
EMOTION100_048:そういうフェティシズムはないと思(おも)う。,ソーユウフェティシズムワナイトオモウ。
EMOTION100_049:ウッド夫人(ふじん)が作(つく)ってくれるおいしい田舎風(いなかふう)の料理(りょうり)を食(た)べたし、ミルクをたくさん飲(の)みました。,ウッドフジンガツクッテクレルオイシイイナカフウノリョーリヲタベタシ、ミルクヲタクサンノミマシタ。
EMOTION100_050:私(わたし)の妻(つま)が瓶(びん)をわってしまったので、台所(だいどころ)の床(ゆか)は牛乳(ぎゅうにゅう)だらけになっている。,ワタシノツマガビンヲワッテシマッタノデ、ダイドコロノユカワギュウニュウダラケニナッテイル。
EMOTION100_051:喧嘩(けんか)をしていた二人(ふたり)の子供(こども)は、お互(たが)いにしかめっ面(つら)をして座(すわ)っていた。,ケンカヲシテイタフタリノコドモワ、オタガイニシカメッツラヲシテスワッテイタ。
EMOTION100_052:事業(じぎょう)を継続(けいぞく)しながら、事業(じぎょう)が依拠(いきょ)している不動産(ふどうさん)を、切(き)り売(う)りしていくことなど非現実的(ひげんじつてき)なのだ。,ジギョーヲケーゾクシナガラ、ジギョーガイキョシテイルフドーサンヲ、キリウリシテイクコトナドヒゲンジツテキナノダ。
EMOTION100_053:しかしペパーバーグは、そのオウムを研究(けんきゅう)することによって、動物(どうぶつ)に対(たい)する考(かんが)え方(かた)が変(か)わったと言(い)っている。,シカシペパーバーグワ、ソノオームヲケンキュウスルコトニヨッテ、ドーブツニタイスルカンガエカタガカワッタトイッテイル。
EMOTION100_054:パックマンがある条件(じょうけん)を満(み)たすと、追(お)ってくるモンスターを逆襲(ぎゃくしゅう)して食(た)べることができる。,パックマンガアルジョーケンヲミタスト、オッテクルモンスターヲギャクシュウシテタベルコトガデキル。
EMOTION100_055:その数百年後(すうひゃくねんご)に、フォークが西洋(せいよう)のテーブルに現(あらわ)れることになるが、ただちに受(う)け入(い)れられたわけではなかった。,ソノスウヒャクネンゴニ、フォークガセーヨーノテーブルニアラワレルコトニナルガ、タダチニウケイレラレタワケデワナカッタ。
EMOTION100_056:トップのリーダーは犬(いぬ)の行動学(こうどうがく)ではアルファと呼(よ)ばれ、以下(いか)ベータ、ガンマと続(つづ)きます。,トップノリーダーワイヌノコードーガクデワアルファトヨバレ、イカベータ、ガンマトツヅキマス。
EMOTION100_057:ウィーンまでは歩(ある)くとどのくらいかかりますか？,ウィーンマデワアルクトドノクライカカリマスカ？
EMOTION100_058:すみません、この辺(へん)に詳(くわ)しくないんです。,スミマセン、コノヘンニクワシクナインデス。
EMOTION100_059:目標(もくひょう)は授業(じゅぎょう)設計(せっけい)をするときの、学生(がくせい)の思考(しこう)を触発(しょくはつ)するメディア教材(きょうざい)の選択(せんたく)および、活用(かつよう)方法(ほうほう)について理解(りかい)することである。,モクヒョーワジュギョーセッケーヲスルトキノ、ガクセーノシコーヲショクハツスルメディアキョーザイノセンタクオヨビ、カツヨーホーホーニツイテリカイスルコトデアル。
EMOTION100_060:とりあえず店(みせ)の前(まえ)、掃除(そうじ)しといてくれ。打(う)ち水(みず)も頼(たの)む。,トリアエズミセノマエ、ソージシトイテクレ。ウチミズモタノム。
EMOTION100_061:人々(ひとびと)はトーナメントが始(はじ)まる何ヶ月(なんかげつ)も前(まえ)に、これらの入場券(にゅうじょうけん)を買(か)う。,ヒトビトワトーナメントガハジマルナンカゲツモマエニ、コレラノニュウジョーケンヲカウ。
EMOTION100_062:彼女(かのじょ)の魅力(みりょく)は言葉(ことば)では表現(ひょうげん)できない、とその芸術家(げいじゅつか)は叫(さけ)んだ。,カノジョノミリョクワコトバデワヒョーゲンデキナイ、トソノゲージュツカワサケンダ。
EMOTION100_063:事象(じしょう)として簡単(かんたん)なことを、いかにも難(むずか)しそうに表現(ひょうげん)する人(ひと)は、あまり頭(あたま)がよさそうではない。,ジショートシテカンタンナコトヲ、イカニモムズカシソーニヒョーゲンスルヒトワ、アマリアタマガヨサソーデワナイ。
EMOTION100_064:デザインも、アーチ型(がた)のロゴデザインにより、現代的(げんだいてき)で登場感(とうじょうかん)、躍動感(やくどうかん)あるものに仕上(しあ)げました。,デザインモ、アーチガタノロゴデザインニヨリ、ゲンダイテキデトージョーカン、ヤクドーカンアルモノニシアゲマシタ。
EMOTION100_065:そんなに慌(あわ)てて運転(うんてん)して、一体(いったい)どこへ行(い)こうってんだよ。,ソンナニアワテテウンテンシテ、イッタイドコエイコーッテンダヨ。
EMOTION100_066:時間(じかん)はあるんだから、安全(あんぜん)運転(うんてん)してくれよ。,ジカンワアルンダカラ、アンゼンウンテンシテクレヨ。
EMOTION100_067:ディスプレイはモニタともいい、コンピュータなどの機器(きき)から出力(しゅつりょく)される静止画(せいしが)、または動画(どうが)の映像(えいぞう)信号(しんごう)を表示(ひょうじ)する機器(きき)である。,ディスプレイワモニタトモイイ、コンピュータナドノキキカラシュツリョクサレルセーシガ、マタワドーガノエーゾーシンゴーヲヒョージスルキキデアル。
EMOTION100_068:撃(う)ち合(あ)いが少(すこ)し静(しず)まったとき、パパが走(はし)ってフラットに行(い)って、私(わたし)たちにサンドイッチを持(も)ってきてくれたわ。,ウチアイガスコシシズマッタトキ、パパガハシッテフラットニイッテ、ワタシタチニサンドイッチヲモッテキテクレタワ。
EMOTION100_069:ギリシャのフットボールの試合(しあい)では、一方(いっぽう)のチームの選手(せんしゅ)は、相手(あいて)チームの陣地(じんち)のラインの向(む)こう側(がわ)にボールを持(も)ち込(こ)もうとしたのです。,ギリシャノフットボールノシアイデワ、イッポーノチームノセンシュワ、アイテチームノジンチノラインノムコーガワニボールヲモチコモートシタノデス。
EMOTION100_070:泳者(えいしゃ)のシンディー・ニコラスは、へとへとになって泳(およ)ぎ切(き)った後(あと)、ドーバーでかろうじて陸(りく)に上(あ)がってきたが、海峡(かいきょう)水泳(すいえい)協会(きょうかい)のスポークスマンは、彼女(かのじょ)がとても元気(げんき)であると発表(はっぴょう)した。,エーシャノシンディーニコラスワ、ヘトヘトニナッテオヨギキッタアト、ドーバーデカロージテリクニアガッテキタガ、カイキョースイエーキョーカイノスポークスマンワ、カノジョガトテモゲンキデアルトハッピョーシタ。
EMOTION100_071:若(わか)い男女(だんじょ)が人里(ひとざと)離(はな)れた洋館(ようかん)で恐怖(きょうふ)の一夜(いちや)を過(す)ごすという、ホラーの定番(ていばん)スタイルだ。,ワカイダンジョガヒトザトハナレタヨーカンデキョーフノイチヤヲスゴストユウ、ホラーノテーバンスタイルダ。
