EMOTION100_001:えっ嘘でしょ。,エッウソデショ。
EMOTION100_002:シュヴァイツァーは見習うべき人間です。,シュヴァイツァーワミナラウベキニンゲンデス。
EMOTION100_003:デーヴィスさんはとても疲れているように見える。,デーヴィスサンワトテモツカレテイルヨーニミエル。
EMOTION100_004:スティーヴはジェーンから手紙をもらった。,スティーヴワジェーンカラテガミヲモラッタ。
EMOTION100_005:彼女はモーツァルトやベートーヴェンといった、古典派の作曲家が好きだ。,カノジョワモーツァルトヤベートーヴェントイッタ、コテンハノサッキョクカガスキダ。
EMOTION100_006:ストラットフォード・オン・エイヴォンは、シェイクスピアの生まれたところですが、毎年多くの観光客が訪れます。,ストラットフォードオンエイヴォンワ、シェイクスピアノウマレタトコロデスガ、マイトシオオクノカンコーキャクガオトズレマス。
EMOTION100_007:彼はピューマを慣らすのに、大いに骨を折った。,カレワピューマヲナラスノニ、オオイニホネヲオッタ。
EMOTION100_008:彼が解雇されるとは妙な話だ。,カレガカイコサレルトワミョーナハナシダ。
EMOTION100_009:クリスはヴァンパイア・ナイトを倒した。,クリスワヴァンパイアナイトヲタオシタ。
EMOTION100_010:彼のあだ名は言い得て妙だよね。,カレノアダナワイイエテミョーダヨネ。
EMOTION100_011:イタリア旅行で彼は、いくつか景勝の地として有名な都市、例えば、ナポリやフィレンツェを訪れた。,イタリアリョコーデカレワ、イクツカケーショーノチトシテユウメーナトシ、タトエバ、ナポリヤフィレンツェヲオトズレタ。
EMOTION100_012:ゼロという概念は、ヒンドゥー文化に由来している。,ゼロトユウガイネンワ、ヒンドゥーブンカニユライシテイル。
EMOTION100_013:そのいたずら娘は何食わぬ顔をした。,ソノイタズラムスメワナニクワヌカオヲシタ。
EMOTION100_014:スミスさん、ピエール・デュボワをご紹介しますわ。私の親友なの。,スミスサン、ピエールデュボワヲゴショーカイシマスワ。ワタシノシンユウナノ。
EMOTION100_015:どーすんの、このお店。完ッ全に閑古鳥が鳴いちゃってるじゃない。,ドースンノ、コノオミセ。カンッゼンニカンコドリガナイチャッテルジャナイ。
EMOTION100_016:頂上に着くと皆でヤッホーと叫んだ。,チョージョーニツクトミンナデヤッホートサケンダ。
EMOTION100_017:あっベルが鳴ってる。,アッベルガナッテル。
EMOTION100_018:彼女は彼にぴょこんとおじぎをした。,カノジョワカレニピョコントオジギヲシタ。
EMOTION100_019:男子生徒のめいめいが、帽子に学校のバッジをつけています。,ダンシセートノメーメーガ、ボーシニガッコーノバッジヲツケテイマス。
EMOTION100_020:ヒューズが飛んだ。,ヒューズガトンダ。
EMOTION100_021:私はポピュラー音楽を聞きたい。,ワタシワポピュラーオンガクヲキキタイ。
EMOTION100_022:猫はにゃーにゃーと鳴く。,ネコワニャーニャートナク。
EMOTION100_023:私の一番上の兄が父の名代としてその会合に出席した。,ワタシノイチバンウエノアニガチチノミョーダイトシテソノカイゴーニシュッセキシタ。
EMOTION100_024:彼は首相にインタビューした。,カレワシュショーニインタビューシタ。
EMOTION100_025:その会社の急速な成長は、その独特な戦略によるものだった。,ソノカイシャノキュウソクナセーチョーワ、ソノドクトクナセンリャクニヨルモノダッタ。
EMOTION100_026:私はいつもミネラルウォーターを持ち歩いています。,ワタシワイツモミネラルウォーターヲモチアルイテイマス。
EMOTION100_027:彼女はハンドバッグを開けて家の鍵を探してみたが、見つからなかった。,カノジョワハンドバッグヲアケテイエノカギヲサガシテミタガ、ミツカラナカッタ。
EMOTION100_028:彼女はスタッフをまとめていけると思いますか？,カノジョワスタッフヲマトメテイケルトオモイマスカ？
EMOTION100_029:牛乳はあなたの体に良いだろう、毎日飲んだほうがいい。,ギュウニュウワアナタノカラダニヨイダロー、マイニチノンダホーガイイ。
EMOTION100_030:あなたは流感になりかけているか、もっと重い病気かもしれません。,アナタワリュウカンニナリカケテイルカ、モットオモイビョーキカモシレマセン。
EMOTION100_031:彼女はその事件を、生き生きとした筆致で描写した。,カノジョワソノジケンヲ、イキイキトシタヒッチデビョーシャシタ。
EMOTION100_032:彼は自らの生涯を、インドでの病人の治療に捧げるつもりだ。,カレワミズカラノショーガイヲ、インドデノビョーニンノチリョーニササゲルツモリダ。
EMOTION100_033:奇妙な男で、彼は人から話し掛けられないと口をきかない。,キミョーナオトコデ、カレワヒトカラハナシカケラレナイトクチヲキカナイ。
EMOTION100_034:我々はその山脈で土着のガイドを雇った。,ワレワレワソノサンミャクデドチャクノガイドヲヤトッタ。
EMOTION100_035:彼女は息子に家で行儀よくするように言った。,カノジョワムスコニイエデギョーギヨクスルヨーニイッタ。
EMOTION100_036:彼はライフルを拾い上げ、それで標的をねらった。,カレワライフルヲヒロイアゲ、ソレデヒョーテキヲネラッタ。
EMOTION100_037:私はこの本に八百円を払った。,ワタシワコノホンニハッピャクエンヲハラッタ。
EMOTION100_038:気分が悪くて入院したが、結果的にはたいしたことはなかった。,キブンガワルクテニュウインシタガ、ケッカテキニワタイシタコトワナカッタ。
EMOTION100_039:アフィ狙いの釣り記事ですね。英語関係のコミュのあちこちにマルチポストしています。,アフィネライノツリキジデスネ。エーゴカンケーノコミュノアチコチニマルチポストシテイマス。
EMOTION100_040:トラベラーズチェックを現金に替えてくれるのはこの窓口ですか？,トラベラーズチェックヲゲンキンニカエテクレルノワコノマドグチデスカ？
EMOTION100_041:本日の映画は、サウンド・オブ・ミュージックでございます。,ホンジツノエーガワ、サウンドオブミュージックデゴザイマス。
EMOTION100_042:概してわれわれ日本人は、外国語を話すのに少し臆病すぎる。,ガイシテワレワレニホンジンワ、ガイコクゴヲハナスノニスコシオクビョースギル。
EMOTION100_043:店の人は私のことを知るようになり、私はいつも同じウェイトレスに応対してもらっていた。,ミセノヒトワワタシノコトヲシルヨーニナリ、ワタシワイツモオナジウェイトレスニオータイシテモラッテイタ。
EMOTION100_044:この丘からは何百万という星が見える。,コノオカカラワナンビャクマントユウホシガミエル。
EMOTION100_045:彼女は大学に入学したら、親から経済的に独立しようと思っていた。,カノジョワダイガクニニュウガクシタラ、オヤカラケーザイテキニドクリツシヨートオモッテイタ。
EMOTION100_046:サブマリンのペリスコープが、水中からにょっきり突き出ていた。,サブマリンノペリスコープガ、スイチュウカラニョッキリツキデテイタ。
EMOTION100_047:別にブルマに特別な関心があるわけじゃない。,ベツニブルマニトクベツナカンシンガアルワケジャナイ。
EMOTION100_048:そういうフェティシズムはないと思う。,ソーユウフェティシズムワナイトオモウ。
EMOTION100_049:ウッド夫人が作ってくれるおいしい田舎風の料理を食べたし、ミルクをたくさん飲みました。,ウッドフジンガツクッテクレルオイシイイナカフウノリョーリヲタベタシ、ミルクヲタクサンノミマシタ。
EMOTION100_050:私の妻が瓶をわってしまったので、台所の床は牛乳だらけになっている。,ワタシノツマガビンヲワッテシマッタノデ、ダイドコロノユカワギュウニュウダラケニナッテイル。
EMOTION100_051:喧嘩をしていた二人の子供は、お互いにしかめっ面をして座っていた。,ケンカヲシテイタフタリノコドモワ、オタガイニシカメッツラヲシテスワッテイタ。
EMOTION100_052:事業を継続しながら、事業が依拠している不動産を、切り売りしていくことなど非現実的なのだ。,ジギョーヲケーゾクシナガラ、ジギョーガイキョシテイルフドーサンヲ、キリウリシテイクコトナドヒゲンジツテキナノダ。
